类型,航班起始日期,航班截止日期,班期,航班号,出发站,到达站,STD,STA,ETD,ETA,机型,机号,dd_flag,飞机,机组,乘务,apt_access,VIP,重点航班,rpl_remark,固定衔接环,专项整治,放区,release_seat,alarm_flag,flt_task,航班类型,调整原因,备注,状态,issue_flag,scen_name,bill_no
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1440,CKG,PEK,2025/6/23 18:00,2025/6/23 20:30,2025/6/23 18:00,2025/6/23 20:30,73H,B1179,0,重庆,本部,本部,n,0,,"换飞机,",0,,蓉,DM C-6,0,正班,国内,天气原因,因海口机场受雷雨天气影响，航班调整。,拟制,方案,PEK-D-wanghaoliang-2025-06-23-0632,154189135
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1442,DLU,PEK,2025/6/23 19:30,2025/6/23 22:55,2025/6/23 19:30,2025/6/23 22:55,737,B5296,0,重庆,重庆,本部,n,0,,"时刻,",0,,蓉,DM C-2,0,正班,国内,天气原因,因大理低云天气，前序航班晚到，后续航班推点,拟制,方案,PEK-D-anzhicheng-2025-06-23-0906,154189358
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1442,DLU,PEK,2025/6/23 19:30,2025/6/23 22:55,2025/6/23 19:30,2025/6/23 22:55,737,B5296,0,重庆,重庆,本部,n,0,,"时刻,换飞机,",0,,蓉,DM C-2,0,正班,国内,天气原因,因大理机场受低云天气影响，航班衔接调整。,拟制,预案,PEK-C-quyifan-2025-06-23-0701,154189171
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1449,PEK,CKG,2025/6/23 18:45,2025/6/23 21:30,2025/6/23 18:45,2025/6/23 21:30,73V,B1419,1,重庆,重庆,本部,n,1,,"机型,换飞机,",0,,京,DM B-6,0,正班,国内,公司计划,保证重庆22分钟氧飞机在渝运行，且后续衔接为73A市场机型,拟制,方案,PEK-D-anzhicheng-2025-06-23-1156,154190058
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1499,PEK,DLU,2025/6/23 14:30,2025/6/23 18:30,2025/6/23 14:30,2025/6/23 18:30,737,B5296,0,重庆,重庆,本部,n,0,,"时刻,",0,,京,DM B-Y,0,正班,国内,天气原因,因大理低云天气，前序航班晚到，后续航班推点,拟制,方案,PEK-D-anzhicheng-2025-06-23-0906,154189358
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1499,PEK,DLU,2025/6/23 14:30,2025/6/23 18:30,2025/6/23 14:30,2025/6/23 18:30,737,B5296,0,重庆,重庆,本部,n,0,,"时刻,换飞机,",0,,京,DM B-Y,0,正班,国内,天气原因,因大理机场受低云天气影响，航班衔接调整。,拟制,预案,PEK-C-quyifan-2025-06-23-0701,154189171
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1500,DLU,PEK,2025/6/23 9:55,2025/6/23 13:30,2025/6/23 9:55,2025/6/23 13:30,737,B5296,0,重庆,重庆,重庆,n,0,,"时刻,",0,,蓉,DM C-1,0,正班,国内,天气原因,因大理机场受低云天气影响，航班推迟。,拟制,方案,PEK-C-quyifan-2025-06-23-0654,154189166
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1509,PEK,SHA,2025/6/23 17:45,2025/6/23 20:05,2025/6/23 17:45,2025/6/23 20:05,789,B1591,1,本部,本部,本部,n,0,,"时刻,",0,,京,DM B-9,0,正班,国内,天气原因,华东雷雨，航班调整,拟制,方案,PEK-A-tianlei-2025-06-23-0801,154212014
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1510,SHA,PEK,2025/6/23 21:30,2025/6/23 23:45,2025/6/23 21:30,2025/6/23 23:45,789,B1591,1,本部,本部,本部,n,0,,"时刻,",0,,沪,DM S-5,0,正班,国内,天气原因,华东雷雨，航班调整,拟制,方案,PEK-A-tianlei-2025-06-23-0801,154212014
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1531,PEK,SHA,2025/6/23 10:25,2025/6/23 12:40,2025/6/23 10:25,2025/6/23 12:40,77W,B1429,0,本部,本部,本部,n,0,,"时刻,",0,,京,DM B-9,0,正班,国内,公共安全,B1429飞机11号轮扎伤需换，航班推时,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1013,154189698
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1532,SHA,PEK,2025/6/23 13:55,2025/6/23 16:20,2025/6/23 13:55,2025/6/23 16:20,77W,B1429,0,本部,本部,本部,n,0,,"时刻,",0,,沪,DM S-5,0,正班,国内,公共安全,B1429飞机11号轮扎伤需换，航班推时,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1013,154189698
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1553,WNZ,PEK,2025/6/23 15:30,2025/6/23 18:15,2025/6/23 15:30,2025/6/23 18:15,32N,B1876,0,浙江,浙江,本部,n,0,,"时刻,",0,,沪,DM S-2,0,正班,国内,天气原因,受航路天气影响，航班调时,拟制,方案,PEK-N-caoyang-2025-06-23-0145,154208653
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1563,PEK,SHA,2025/6/23 19:30,2025/6/23 21:50,2025/6/23 19:30,2025/6/23 21:50,33A,B5919,0,本部,西南,本部,n,0,,"换飞机,",0,,京,DM B-9,0,正班,国内,工程机务,B5948航前出现AIR R WING LEAK ，需停场进行排故，航班调整,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1602,154190994
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1563,PEK,SHA,2025/6/23 19:30,2025/6/23 21:50,2025/6/23 19:30,2025/6/23 21:50,33A,B5948,0,本部,西南,本部,n,0,,"时刻,机型,换飞机,",0,,京,DM B-9,0,正班,国内,工程机务,B5948航前出现AIR R WING LEAK ，需停场进行排故,拟制,方案,PEK-A-gaopeng-2025-06-23-1631,154191031
